,tweets
0, pésima atención al cliente llega pedido incompleto nadie se hace responsable abusan de sus clientes 
1, asi como me cobran un fee cada que cancelo una carrera deberian de hacerme un descuento cada que uno de sus condu tores me cancela al momento me han cancelado conductores
2, sigo esperando respuesta de de por el viaje se me facturo sin haber tomado el auto de ese chófer sinverguenza nadie llama ni dicen nada su servicio al cliente es pesimo esto hace dudar de su jodida seriedad
3, qué es cómo trabajar de 
4, lol honestly winning voting contests is what voting contests mean my man hasn scored or assisted against real since cadiz huesca elche valladolid vallecano mallorca betis granada celta osasuna bolivia ecuador that of his career now uber eats goal votes sure
5, con ese salvoconducto se debe regresar ecuador desde donde estén no les dejarán subirse en aviones así sea en la zona schengen 
6, hasta cuando tenemos que soportar perder el tiempo con los conductores de uber se está convirtiendo en un karma utilizar sus servicios minutos esperando al conductor cancela 
7,nuevamente cobrando dos veces el mismo viaje hasta cuánto será que algún momento me reembolsan 
8, como puedo reportar un conductor que se le pago el viaje no me puso el cobro en la aplicación adjunto detalles del conductor que incluso no me dió ni el vuelto 
10,como odio uber ecuador hpta
11, en eso estoy porque se pasó de hpta ni leer el gps sabía
12,siento que mi me estafó estoy más que segura que puse el destino correcto las carreras están demasiado económicas sumándole uber pass son un regalo 
13,hola hoy tome un uber las y costo de dolares llegue mi destino en aprox min luego las h me llega notificación que se anulo ese valor me cobraron el conductor no cerró lo carrera al yo bajarme 
14,me acabo de reconciliar con uber pero no con uber ecuador 
15,hola por favor cancelar la deuda que tengo en mi cuenta le cancele en efectivo un viaje de no voy pagar nuevamente este monto en el próximo viaje verificar monto pendiente por favor
16, sigo esperando respuesta de un caso que el chófer nisiquiera me recogió ni me llevo al destino pero que si inicio el viaje como si yo hubiera subido nadie responde ya van dos días nada
17, ayer pagué el valor de mi viaje en efectivo hoy revisé mi app tengo un saldo quién dirijo el reclamo 
18, tres conductores me van cancelando en minutos lo peor es te hacen esperar te cancelan ya casi llegando asco de servicio hasta hoy use su app 
